"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2025","7.0082","7.0080","7.0155","7.0082","","0.02%"
"12/26/2025","7.0067","7.0088","7.0111","7.0061","","0.01%"
"12/25/2025","7.0059","7.0140","7.0154","7.0056","","-0.13%"
"12/24/2025","7.0149","7.0265","7.0297","7.0129","","-0.19%"
"12/23/2025","7.0285","7.0380","7.0381","7.0277","","-0.12%"
"12/22/2025","7.0370","7.0412","7.0416","7.0367","","-0.06%"
"12/19/2025","7.0411","7.0416","7.0424","7.0404","","-0.01%"
"12/18/2025","7.0418","7.0439","7.0458","7.0403","","-0.03%"
"12/17/2025","7.0438","7.0413","7.0470","7.0411","","0.02%"
"12/16/2025","7.0421","7.0472","7.0472","7.0415","","-0.08%"
"12/15/2025","7.0477","7.0559","7.0559","7.0470","","-0.11%"
"12/12/2025","7.0552","7.0559","7.0570","7.0544","","-0.04%"
"12/11/2025","7.0581","7.0605","7.0628","7.0571","","-0.09%"
"12/10/2025","7.0646","7.0658","7.0675","7.0607","","0.01%"
"12/09/2025","7.0636","7.0719","7.0725","7.0636","","-0.11%"
"12/08/2025","7.0717","7.0693","7.0720","7.0671","","0.02%"
"12/05/2025","7.0703","7.0725","7.0725","7.0677","","-0.02%"
"12/04/2025","7.0717","7.0682","7.0718","7.0671","","0.11%"
"12/03/2025","7.0638","7.0692","7.0692","7.0615","","-0.10%"
"12/02/2025","7.0709","7.0771","7.0774","7.0690","","-0.01%"
"12/01/2025","7.0718","7.0722","7.0760","7.0714","","-0.05%"
"11/28/2025","7.0753","7.0814","7.0835","7.0747","","-0.06%"
"11/27/2025","7.0798","7.0754","7.0839","7.0754","","0.05%"
"11/26/2025","7.0760","7.0845","7.0862","7.0760","","-0.12%"
"11/25/2025","7.0847","7.1002","7.1008","7.0846","","-0.26%"
"11/24/2025","7.1029","7.1063","7.1095","7.1020","","-0.06%"
"11/21/2025","7.1072","7.1132","7.1145","7.1072","","-0.13%"
"11/20/2025","7.1164","7.1132","7.1184","7.1097","","0.07%"
"11/19/2025","7.1116","7.1105","7.1133","7.1080","","0.05%"
"11/18/2025","7.1078","7.1084","7.1157","7.1058","","0.00%"
"11/17/2025","7.1077","7.1020","7.1084","7.1011","","0.11%"
"11/14/2025","7.0996","7.0963","7.1015","7.0912","","0.05%"
"11/13/2025","7.0959","7.1136","7.1136","7.0944","","-0.24%"
"11/12/2025","7.1128","7.1187","7.1202","7.1128","","-0.06%"
"11/11/2025","7.1173","7.1211","7.1238","7.1167","","-0.03%"
"11/10/2025","7.1197","7.1206","7.1212","7.1171","","-0.04%"
"11/07/2025","7.1226","7.1206","7.1239","7.1194","","0.04%"
"11/06/2025","7.1194","7.1227","7.1256","7.1176","","-0.10%"
"11/05/2025","7.1268","7.1330","7.1334","7.1242","","-0.04%"
"11/04/2025","7.1298","7.1261","7.1300","7.1221","","0.12%"
"11/03/2025","7.1210","7.1197","7.1238","7.1137","","0.05%"
"10/31/2025","7.1174","7.1108","7.1189","7.1084","","0.10%"
"10/30/2025","7.1104","7.0995","7.1148","7.0958","","0.17%"
"10/29/2025","7.0985","7.0991","7.1026","7.0980","","-0.01%"
"10/28/2025","7.0993","7.1068","7.1068","7.0984","","-0.16%"
"10/27/2025","7.1106","7.1096","7.1139","7.1038","","-0.15%"
"10/24/2025","7.1216","7.1258","7.1259","7.1211","","-0.02%"
"10/23/2025","7.1227","7.1235","7.1249","7.1215","","-0.05%"
"10/22/2025","7.1265","7.1240","7.1286","7.1216","","0.06%"
"10/21/2025","7.1224","7.1206","7.1224","7.1156","","0.03%"
"10/20/2025","7.1201","7.1253","7.1275","7.1200","","-0.10%"
"10/17/2025","7.1271","7.1188","7.1276","7.1187","","0.04%"
"10/16/2025","7.1240","7.1225","7.1277","7.1191","","-0.04%"
"10/15/2025","7.1267","7.1267","7.1292","7.1234","","-0.17%"
"10/14/2025","7.1390","7.1322","7.1433","7.1312","","0.10%"
"10/13/2025","7.1321","7.1304","7.1338","7.1266","","-0.04%"
"10/10/2025","7.1353","7.1256","7.1353","7.1219","","0.10%"
"10/09/2025","7.1285","7.1342","7.1344","7.1215","","0.13%"
"10/08/2025","7.1196","7.1196","7.1196","7.1196","","0.00%"
"10/07/2025","7.1196","7.1196","7.1196","7.1196","","0.00%"
"10/06/2025","7.1196","7.1196","7.1196","7.1196","","0.00%"
"10/03/2025","7.1196","7.1196","7.1196","7.1196","","0.00%"
"10/02/2025","7.1196","7.1196","7.1196","7.1196","","0.00%"
"10/01/2025","7.1196","7.1196","7.1196","7.1196","","0.00%"
"09/30/2025","7.1196","7.1212","7.1274","7.1182","","0.00%"
"09/29/2025","7.1195","7.1266","7.1266","7.1167","","-0.20%"
"09/26/2025","7.1337","7.1344","7.1380","7.1320","","-0.02%"
"09/25/2025","7.1349","7.1289","7.1350","7.1220","","0.04%"
"09/24/2025","7.1322","7.1135","7.1324","7.1133","","0.28%"
"09/23/2025","7.1122","7.1130","7.1158","7.1090","","-0.04%"
"09/22/2025","7.1147","7.1166","7.1169","7.1118","","-0.01%"
"09/19/2025","7.1156","7.1141","7.1182","7.1104","","0.04%"
"09/18/2025","7.1125","7.1103","7.1137","7.1052","","0.13%"
"09/17/2025","7.1036","7.1104","7.1107","7.1034","","-0.15%"
"09/16/2025","7.1144","7.1191","7.1195","7.1139","","-0.07%"
"09/15/2025","7.1191","7.1239","7.1247","7.1189","","-0.08%"
"09/12/2025","7.1248","7.1178","7.1253","7.1178","","0.09%"
"09/11/2025","7.1187","7.1176","7.1262","7.1174","","-0.04%"
"09/10/2025","7.1212","7.1306","7.1306","7.1191","","0.00%"
"09/09/2025","7.1215","7.1299","7.1299","7.1214","","-0.12%"
"09/08/2025","7.1299","7.1318","7.1367","7.1293","","-0.04%"
"09/05/2025","7.1329","7.1383","7.1396","7.1326","","-0.12%"
"09/04/2025","7.1417","7.1415","7.1439","7.1384","","-0.01%"
"09/03/2025","7.1422","7.1386","7.1489","7.1375","","0.04%"
"09/02/2025","7.1395","7.1387","7.1500","7.1375","","0.02%"
"09/01/2025","7.1378","7.1312","7.1382","7.1282","","0.10%"
"08/29/2025","7.1308","7.1342","7.1345","7.1265","","0.00%"
"08/28/2025","7.1307","7.1485","7.1551","7.1301","","-0.33%"
"08/27/2025","7.1543","7.1508","7.1631","7.1454","","0.02%"
"08/26/2025","7.1529","7.1556","7.1630","7.1524","","0.02%"
"08/25/2025","7.1516","7.1649","7.1682","7.1483","","-0.20%"
"08/22/2025","7.1657","7.1818","7.1866","7.1635","","-0.21%"
"08/21/2025","7.1805","7.1769","7.1814","7.1685","","0.06%"
"08/20/2025","7.1762","7.1873","7.1896","7.1748","","-0.09%"
"08/19/2025","7.1824","7.1853","7.1881","7.1788","","-0.03%"
"08/18/2025","7.1849","7.1838","7.1862","7.1763","","0.04%"
"08/15/2025","7.1821","7.1809","7.1845","7.1778","","0.03%"
"08/14/2025","7.1803","7.1723","7.1803","7.1673","","0.07%"
"08/13/2025","7.1751","7.1824","7.1844","7.1733","","-0.06%"
"08/12/2025","7.1792","7.1876","7.1915","7.1792","","-0.13%"
"08/11/2025","7.1888","7.1838","7.1892","7.1798","","0.06%"
"08/08/2025","7.1842","7.1816","7.1852","7.1812","","0.04%"
"08/07/2025","7.1815","7.1824","7.1826","7.1769","","-0.02%"
"08/06/2025","7.1826","7.1903","7.1903","7.1826","","-0.02%"
"08/05/2025","7.1840","7.1780","7.1895","7.1762","","0.07%"
"08/04/2025","7.1787","7.1859","7.1893","7.1743","","-0.46%"
"08/01/2025","7.2118","7.2019","7.2142","7.2019","","0.16%"
"07/31/2025","7.2005","7.1920","7.2006","7.1902","","0.09%"
"07/30/2025","7.1942","7.1756","7.1948","7.1734","","0.24%"
"07/29/2025","7.1772","7.1796","7.1798","7.1744","","-0.01%"
"07/28/2025","7.1779","7.1685","7.1779","7.1671","","0.13%"
"07/25/2025","7.1683","7.1609","7.1693","7.1584","","0.19%"
"07/24/2025","7.1545","7.1516","7.1578","7.1490","","-0.08%"
"07/23/2025","7.1602","7.1685","7.1725","7.1602","","-0.21%"
"07/22/2025","7.1750","7.1702","7.1766","7.1700","","-0.02%"
"07/21/2025","7.1764","7.1778","7.1797","7.1743","","-0.02%"
"07/18/2025","7.1779","7.1792","7.1826","7.1757","","-0.08%"
"07/17/2025","7.1840","7.1802","7.1841","7.1760","","0.06%"
"07/16/2025","7.1796","7.1783","7.1847","7.1770","","0.09%"
"07/15/2025","7.1730","7.1707","7.1754","7.1691","","0.08%"
"07/14/2025","7.1672","7.1672","7.1710","7.1668","","-0.02%"
"07/11/2025","7.1686","7.1770","7.1777","7.1666","","-0.09%"
"07/10/2025","7.1749","7.1774","7.1783","7.1747","","-0.07%"
"07/09/2025","7.1802","7.1741","7.1836","7.1741","","0.09%"
"07/08/2025","7.1741","7.1748","7.1748","7.1700","","-0.01%"
"07/07/2025","7.1747","7.1661","7.1753","7.1659","","0.13%"
"07/04/2025","7.1653","7.1688","7.1693","7.1619","","-0.05%"
"07/03/2025","7.1692","7.1692","7.1718","7.1605","","0.05%"
"07/02/2025","7.1658","7.1645","7.1698","7.1644","","0.01%"
"07/01/2025","7.1654","7.1574","7.1661","7.1562","","0.02%"
"06/30/2025","7.1639","7.1645","7.1663","7.1623","","-0.12%"
"06/27/2025","7.1726","7.1676","7.1744","7.1659","","0.07%"
"06/26/2025","7.1676","7.1686","7.1729","7.1574","","-0.13%"
"06/25/2025","7.1768","7.1686","7.1772","7.1681","","0.07%"
"06/24/2025","7.1717","7.1756","7.1792","7.1715","","-0.12%"
"06/23/2025","7.1800","7.1871","7.1905","7.1800","","0.00%"
"06/20/2025","7.1799","7.1783","7.1851","7.1744","","-0.12%"
"06/19/2025","7.1884","7.1925","7.1925","7.1858","","-0.01%"
"06/18/2025","7.1894","7.1863","7.1894","7.1841","","0.06%"
"06/17/2025","7.1852","7.1801","7.1857","7.1787","","0.08%"
"06/16/2025","7.1798","7.1855","7.1872","7.1782","","-0.03%"
"06/13/2025","7.1816","7.1802","7.1854","7.1742","","0.12%"
"06/12/2025","7.1733","7.1905","7.1905","7.1703","","-0.28%"
"06/11/2025","7.1932","7.1844","7.1942","7.1834","","0.08%"
"06/10/2025","7.1877","7.1806","7.1934","7.1806","","0.09%"
"06/09/2025","7.1811","7.1882","7.1886","7.1805","","-0.12%"
"06/06/2025","7.1896","7.1792","7.1897","7.1792","","0.19%"
"06/05/2025","7.1760","7.1766","7.1844","7.1715","","-0.13%"
"06/04/2025","7.1852","7.1883","7.1938","7.1821","","-0.04%"
"06/03/2025","7.1881","7.1989","7.2013","7.1861","","-0.16%"
"06/02/2025","7.1998","7.1998","7.1998","7.1998","","0.00%"
"05/30/2025","7.1998","7.1861","7.2008","7.1832","","0.19%"
"05/29/2025","7.1859","7.2091","7.2104","7.1859","","-0.12%"
"05/28/2025","7.1948","7.1943","7.2029","7.1886","","-0.01%"
"05/27/2025","7.1956","7.1825","7.1959","7.1824","","0.12%"
"05/26/2025","7.1869","7.1745","7.1898","7.1679","","0.09%"
"05/23/2025","7.1806","7.2011","7.2041","7.1804","","-0.33%"
"05/22/2025","7.2043","7.1996","7.2084","7.1964","","0.02%"
"05/21/2025","7.2025","7.2190","7.2193","7.2018","","-0.24%"
"05/20/2025","7.2195","7.2156","7.2254","7.2156","","0.06%"
"05/19/2025","7.2149","7.2087","7.2172","7.2087","","0.07%"
"05/16/2025","7.2095","7.2047","7.2095","7.1988","","0.03%"
"05/15/2025","7.2073","7.2112","7.2179","7.2050","","-0.02%"
"05/14/2025","7.2085","7.2024","7.2190","7.2012","","0.03%"
"05/13/2025","7.2064","7.1935","7.2064","7.1867","","0.05%"
"05/12/2025","7.2029","7.2282","7.2303","7.2009","","-0.47%"
"05/09/2025","7.2370","7.2436","7.2521","7.2367","","0.03%"
"05/08/2025","7.2348","7.2363","7.2416","7.2325","","0.13%"
"05/07/2025","7.2253","7.2195","7.2330","7.2195","","0.11%"
"05/06/2025","7.2171","7.2359","7.2388","7.2110","","-0.75%"
