"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2025","7.7741","7.7709","7.7750","7.7712","","0.04%"
"12/28/2025","7.7713","7.7709","7.7717","7.7706","","0.00%"
"12/26/2025","7.7714","7.7750","7.7760","7.7704","","-0.05%"
"12/25/2025","7.7753","7.7754","7.7763","7.7744","","0.00%"
"12/24/2025","7.7753","7.7777","7.7781","7.7740","","-0.03%"
"12/23/2025","7.7775","7.7806","7.7810","7.7765","","-0.04%"
"12/22/2025","7.7808","7.7814","7.7823","7.7781","","-0.01%"
"12/19/2025","7.7814","7.7815","7.7832","7.7796","","0.00%"
"12/18/2025","7.7815","7.7809","7.7824","7.7785","","0.00%"
"12/17/2025","7.7812","7.7804","7.7812","7.7765","","0.01%"
"12/16/2025","7.7804","7.7821","7.7825","7.7759","","-0.02%"
"12/15/2025","7.7821","7.7840","7.7851","7.7808","","-0.02%"
"12/12/2025","7.7840","7.7821","7.7868","7.7806","","0.02%"
"12/11/2025","7.7821","7.7806","7.7837","7.7782","","0.02%"
"12/10/2025","7.7806","7.7822","7.7831","7.7796","","-0.02%"
"12/09/2025","7.7824","7.7807","7.7830","7.7781","","0.02%"
"12/08/2025","7.7808","7.7848","7.7854","7.7791","","-0.05%"
"12/05/2025","7.7849","7.7827","7.7860","7.7817","","0.03%"
"12/04/2025","7.7829","7.7842","7.7851","7.7808","","-0.02%"
"12/03/2025","7.7842","7.7847","7.7859","7.7814","","-0.01%"
"12/02/2025","7.7847","7.7884","7.7915","7.7832","","-0.05%"
"12/01/2025","7.7887","7.7859","7.7895","7.7842","","0.04%"
"11/28/2025","7.7859","7.7794","7.7867","7.7778","","0.08%"
"11/27/2025","7.7795","7.7784","7.7801","7.7754","","0.01%"
"11/26/2025","7.7784","7.7756","7.7788","7.7742","","0.04%"
"11/25/2025","7.7755","7.7818","7.7829","7.7729","","-0.08%"
"11/24/2025","7.7817","7.7826","7.7846","7.7806","","-0.01%"
"11/21/2025","7.7826","7.7838","7.7884","7.7822","","-0.02%"
"11/20/2025","7.7838","7.7907","7.7907","7.7808","","-0.09%"
"11/19/2025","7.7906","7.7848","7.7930","7.7837","","0.07%"
